,Date,Time,Vrms ph-n AN Avg,Vrms ph-n BN Avg,Vrms ph-n CN Avg,Vrms ph-n NG Avg,Current A Avg,Current B Avg,Current C Avg,Current Phi AN Avg,Current Phi BN Avg,Current Phi CN Avg,Active Power Total Avg,Apparent Power Total Avg,Reactive Power Total Avg,Cos Phi AN Avg,Cos Phi BN Avg,Cos Phi CN Avg,Cos Phi Total Avg
1234,2019-09-01,1:38:43 AM.135,247.86,247.68,246.98,0.72,793.9,729.1,668.7,-2.84,-131.22,-244.78,529200,543750,55950,1.0,0.98,1.0,0.99
1235,2019-09-01,1:39:13 AM.135,247.6,247.42,247.08,0.76,826.5,766.2,711.3,-3.22,-130.58,-245.1,555750,570900,59550,1.0,0.98,1.0,0.99
1236,2019-09-01,1:39:43 AM.135,247.8,247.62,247.38,0.72,793.4,734.1,686.2,-2.94,-130.52,-244.64,534600,549000,54900,1.0,0.98,1.0,0.99
1237,2019-09-01,1:40:13 AM.135,247.92,247.8,247.86,0.7,773.3,710.1,667.2,-2.6,-130.26,-243.86,520500,534000,49500,1.0,0.98,1.0,1.0
1238,2019-09-01,1:40:43 AM.135,248.04,247.88,247.78,0.7,780.9,720.2,672.6,-3.22,-130.98,-244.76,525750,539850,56850,1.0,0.98,1.0,0.99
1239,2019-09-01,1:41:13 AM.135,247.58,247.48,247.6,0.7,796.5,736.3,690.2,-3.8,-131.1,-244.96,536850,551250,61050,1.0,0.98,1.0,0.99
1240,2019-09-01,1:41:43 AM.135,247.84,247.7,247.66,0.74,805.2,747.7,696.6,-3.32,-130.72,-244.54,543300,558150,57600,1.0,0.98,1.0,0.99
1241,2019-09-01,1:42:13 AM.135,247.98,247.86,248.08,0.72,788.7,726.3,680.3,-3.24,-130.22,-244.16,531300,545250,53550,1.0,0.98,1.0,0.99
1242,2019-09-01,1:42:43 AM.135,248.08,247.78,248.14,0.72,791.1,724.4,681.8,-3.36,-130.18,-244.02,531750,545850,53700,1.0,0.98,1.0,0.99
1243,2019-09-01,1:43:13 AM.135,248.22,247.98,248.32,0.72,798.2,732.5,688.0,-3.3,-130.16,-244.02,537300,551550,54000,1.0,0.98,1.0,0.99
1244,2019-09-01,1:43:43 AM.135,248.08,247.92,248.14,0.74,819.1,751.3,710.5,-3.68,-130.3,-244.6,551700,566550,58800,1.0,0.98,1.0,0.99
1245,2019-09-01,1:44:13 AM.135,248.06,247.92,247.72,0.76,838.5,769.1,719.9,-3.28,-130.66,-244.42,562200,578100,58500,1.0,0.98,1.0,0.99
1246,2019-09-01,1:44:43 AM.135,248.12,248.02,248.32,0.78,856.1,784.3,744.6,-3.62,-130.18,-244.26,576450,592650,59700,1.0,0.98,1.0,0.99
1247,2019-09-01,1:45:13 AM.135,248.22,248.1,248.32,0.76,825.3,756.7,716.2,-3.46,-130.12,-244.26,555900,571200,56850,1.0,0.98,1.0,0.99
1248,2019-09-01,1:45:43 AM.135,248.26,248.12,248.36,0.74,812.4,744.8,704.8,-3.2,-129.8,-244.1,547800,562500,53550,1.0,0.99,1.0,1.0
1249,2019-09-01,1:46:13 AM.135,248.06,248.0,248.24,0.7,817.4,751.1,708.8,-3.4,-129.98,-244.48,551550,565950,56400,1.0,0.98,1.0,0.99
1250,2019-09-01,1:46:43 AM.135,248.08,247.96,248.22,0.76,823.4,757.6,714.1,-3.7,-130.3,-244.64,555750,570300,59400,1.0,0.98,1.0,0.99
